Departamento,Distrito,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES
PUNO,OLLACHEA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,337.0
PUNO,ORURILLO,1.0,2.0,0.0,1.0,12.0,8.0,24.0,106.0,1447.0
PUNO,PALCA,0.0,6.0,0.0,0.0,0.0,16.0,22.0,0.0,62.0
PUNO,PATAMBUCO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,469.0
PUNO,PHARA,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,794.0
PUNO,PILCUYO,0.0,0.0,1.0,0.0,2.0,19.0,22.0,0.0,566.0
PUNO,POMATA,0.0,0.0,0.0,0.0,4.0,42.0,46.0,0.0,672.0
PUNO,PUCARA,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,528.0
PUNO,PUNO,0.0,50.0,14.0,0.0,22.0,49.0,135.0,0.0,876.0
PUNO,PUTINA,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,163.0
PUNO,QUILCAPUNCU,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,96.0
PUNO,ROSASPATA,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,362.0
PUNO,SAMAN,0.0,0.0,0.0,0.0,3.0,9.0,12.0,0.0,387.0
PUNO,SAN ANTON,0.0,0.0,0.0,0.0,4.0,5.0,9.0,0.0,435.0
PUNO,SAN GABAN,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,432.0
PUNO,SAN JOSE,0.0,0.0,0.0,0.0,8.0,2.0,10.0,0.0,336.0
PUNO,SAN JUAN DE SALINAS,0.0,0.0,0.0,0.0,48.0,0.0,48.0,3.0,410.0
PUNO,SANDIA,0.0,0.0,0.0,0.0,22.0,25.0,47.0,0.0,446.0
PUNO,SANTA LUCIA,0.0,0.0,0.0,0.0,11.0,1.0,12.0,0.0,73.0
PUNO,SANTA ROSA,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,790.0
PUNO,SANTIAGO DE PUPUJA,0.0,0.0,0.0,0.0,4.0,5.0,9.0,0.0,600.0
PUNO,UMACHIRI,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,259.0
PUNO,UNICACHI,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,67.0
PUNO,YUNGUYO,2.0,28.0,0.0,0.0,53.0,13.0,96.0,0.0,1060.0
PUNO,ZEPITA,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1044.0
SAN MARTIN,AGUA BLANCA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,451.0
SAN MARTIN,ALBERTO LEVEAU,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,74.0
SAN MARTIN,ALTO BIAVO,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,3349.0
SAN MARTIN,BAJO BIAVO,0.0,0.0,0.0,0.0,9.0,2.0,11.0,0.0,3696.0
SAN MARTIN,BELLAVISTA,0.0,0.0,2.0,0.0,25.0,112.0,139.0,0.0,2851.0
SAN MARTIN,CACATACHI,0.0,0.0,0.0,0.0,14.0,103.0,117.0,0.0,1082.0
SAN MARTIN,CALZADA,0.0,0.0,0.0,0.0,24.0,10.0,34.0,0.0,3024.0
SAN MARTIN,CAMPANILLA,0.0,10.0,0.0,8.0,17.0,268.0,303.0,0.0,2052.0
SAN MARTIN,CHAZUTA,0.0,12.0,1.0,0.0,38.0,124.0,175.0,1.0,1874.0
SAN MARTIN,CHIPURANA,0.0,4.0,0.0,0.0,4.0,1.0,9.0,0.0,887.0
SAN MARTIN,EL ESLABON,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,1191.0
SAN MARTIN,EL PORVENIR,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,244.0
SAN MARTIN,ELIAS SOPLIN VARGAS,0.0,0.0,3.0,0.0,5.0,6.0,14.0,0.0,856.0
SAN MARTIN,HUICUNGO,0.0,12.0,0.0,1.0,7.0,102.0,122.0,0.0,1676.0
SAN MARTIN,HUIMBAYOC,0.0,14.0,2.0,0.0,131.0,47.0,194.0,0.0,1764.0
SAN MARTIN,JEPELACIO,0.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,1422.0
SAN MARTIN,JUANJUI,0.0,4.0,1.0,0.0,88.0,37.0,130.0,0.0,10234.0
SAN MARTIN,LA BANDA DE SHILCAYO,0.0,2.0,15.0,1.0,5.0,135.0,158.0,0.0,2700.0
SAN MARTIN,MORALES,0.0,85.0,0.0,4.0,178.0,272.0,539.0,0.0,5088.0
SAN MARTIN,MOYOBAMBA,0.0,1.0,0.0,0.0,3.0,125.0,129.0,0.0,4653.0
SAN MARTIN,NUEVA CAJAMARCA,0.0,3.0,0.0,2.0,2.0,34.0,41.0,0.0,1558.0
SAN MARTIN,NUEVO PROGRESO,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1326.0
SAN MARTIN,PACHIZA,0.0,13.0,0.0,9.0,2.0,38.0,62.0,0.0,2323.0
SAN MARTIN,PAJARILLO,0.0,11.0,0.0,1.0,0.0,14.0,26.0,0.0,3229.0
SAN MARTIN,PICOTA,2.0,14.0,0.0,0.0,16.0,120.0,152.0,0.0,260.0
SAN MARTIN,PINTO RECODO,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,807.0
SAN MARTIN,PISCOYACU,0.0,3.0,0.0,0.0,2.0,11.0,16.0,0.0,693.0
SAN MARTIN,PUCACACA,0.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,168.0
SAN MARTIN,RIOJA,2.0,31.0,3.0,0.0,93.0,121.0,250.0,0.0,923.0
SAN MARTIN,SACANCHE,0.0,15.0,0.0,2.0,17.0,52.0,86.0,0.0,919.0
SAN MARTIN,SAN ANTONIO,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,815.0
SAN MARTIN,SAN FERNANDO,0.0,0.0,0.0,0.0,9.0,9.0,18.0,0.0,1234.0
