Distrito,Departamento,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES,TOTAL GENERALIZADO,Ratio T PSICOTICO positivo,Ratio T ALCOHOL positivo,Ratio T DROGAS positivo,Ratio T TABACO positivo,Ratio T DEPRESIVO positivo,Ratio VIOLENCIA positivo,Ratio Tamizaje Nopositivo,Ratio Tamizaje positivo,Ratio Tamizaje positivo condicion,Cluster
SANTA MARIA DE CHICMO,APURIMAC,0.0,2.0,1.0,0.0,14.0,8.0,25.0,0.0,3280.0,3305.0,0.0,2.3507010966020617e-05,1.1753505483010308e-05,0.0,0.0001645490767621443,9.402804386408247e-05,0.0015463834899046617,1.178645952671236e-05,0.0,0
SANTA ROSA,APURIMAC,0.0,0.0,0.0,0.0,8.0,11.0,19.0,0.0,663.0,682.0,0.0,0.0,0.0,0.0,9.402804386408247e-05,0.0001292885603131134,0.0003125769066484118,8.957709240301394e-06,0.0,0
SA�AYCA,APURIMAC,0.0,8.0,0.0,0.0,10.0,27.0,45.0,8.0,1336.0,1389.0,0.0,9.402804386408247e-05,0.0,0.0,0.00011753505483010308,0.0003173446480412783,0.0006298683971075086,2.1215627148082248e-05,3.7716670485479555e-06,0
SORAYA,APURIMAC,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,695.0,699.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,2.3507010966020617e-05,0.0003276635748426036,1.8858335242739777e-06,0.0,0
TALAVERA,APURIMAC,0.0,9.0,1.0,0.0,4.0,5.0,19.0,2.0,5662.0,5683.0,0.0,0.00010578154934709277,1.1753505483010308e-05,0.0,4.701402193204123e-05,5.876752741505154e-05,0.0026693973536098155,8.957709240301394e-06,9.429167621369889e-07,0
TAMBOBAMBA,APURIMAC,3.0,22.0,0.0,0.0,108.0,198.0,331.0,0.0,7135.0,7466.0,3.5260516449030925e-05,0.0002585771206262268,0.0,0.0,0.0012693785921651132,0.002327194085636041,0.0033638555489237075,0.00015605272413367165,0.0,1
TAMBURCO,APURIMAC,0.0,9.0,2.0,0.0,25.0,95.0,131.0,2.0,3236.0,3369.0,0.0,0.00010578154934709277,2.3507010966020617e-05,0.0,0.0002938376370752577,0.0011165830208859793,0.001525639321137648,6.176104791997277e-05,9.429167621369889e-07,0
TAPAIRIHUA,APURIMAC,0.0,1.0,0.0,0.0,2.0,8.0,11.0,6.0,1644.0,1661.0,0.0,1.1753505483010308e-05,0.0,0.0,2.3507010966020617e-05,9.402804386408247e-05,0.0007750775784766048,5.186042191753439e-06,2.8287502864109666e-06,0
TINTAY,APURIMAC,0.0,3.0,1.0,0.0,14.0,35.0,53.0,1.0,1861.0,1915.0,0.0,3.5260516449030925e-05,1.1753505483010308e-05,0.0,0.0001645490767621443,0.00041137269190536077,0.0008773840471684681,2.4987294196630205e-05,4.7145838106849444e-07,0
TORAYA,APURIMAC,1.0,6.0,0.0,0.0,12.0,17.0,36.0,37.0,1793.0,1866.0,1.1753505483010308e-05,7.052103289806185e-05,0.0,0.0,0.0001410420657961237,0.00019980959321117523,0.0008453248772558105,1.69725017184658e-05,1.7443960099534294e-05,0
TUMAY HUARACA,APURIMAC,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,754.0,761.0,0.0,0.0,0.0,0.0,3.5260516449030925e-05,1.1753505483010308e-05,0.00035547961932564477,1.8858335242739777e-06,1.4143751432054833e-06,0
TURPAY,APURIMAC,0.0,0.0,0.0,0.0,4.0,1.0,5.0,3.0,449.0,457.0,0.0,0.0,0.0,0.0,4.701402193204123e-05,1.1753505483010308e-05,0.000211684813099754,2.357291905342472e-06,1.4143751432054833e-06,0
TURPO,APURIMAC,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,1585.0,1592.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,5.876752741505154e-05,0.0007472615339935636,3.300208667479461e-06,0.0,0
URANMARCA,APURIMAC,0.0,1.0,0.0,0.0,6.0,5.0,12.0,0.0,2082.0,2094.0,0.0,1.1753505483010308e-05,0.0,0.0,7.052103289806185e-05,5.876752741505154e-05,0.0009815763493846053,5.657500572821933e-06,0.0,0
VILCABAMBA,APURIMAC,0.0,6.0,0.0,0.0,7.0,52.0,65.0,2.0,821.0,888.0,0.0,7.052103289806185e-05,0.0,0.0,8.227453838107215e-05,0.000611182285116536,0.0003870673308572339,3.0644794769452134e-05,9.429167621369889e-07,0
VIRUNDO,APURIMAC,0.0,0.0,0.0,0.0,7.0,6.0,13.0,0.0,556.0,569.0,0.0,0.0,0.0,0.0,8.227453838107215e-05,7.052103289806185e-05,0.0002621308598740829,6.128958953890427e-06,0.0,0
YANACA,APURIMAC,0.0,4.0,0.0,0.0,4.0,22.0,30.0,2.0,910.0,942.0,0.0,4.701402193204123e-05,0.0,0.0,4.701402193204123e-05,0.0002585771206262268,0.0004290271267723299,1.4143751432054833e-05,9.429167621369889e-07,0
ACARI,AREQUIPA,0.0,1.0,0.0,0.0,15.0,38.0,54.0,0.0,714.0,768.0,0.0,1.1753505483010308e-05,0.0,0.0,0.00017630258224515463,0.0004466332083543917,0.000336621284082905,2.54587525776987e-05,0.0,0
ALCA,AREQUIPA,0.0,37.0,0.0,0.0,61.0,128.0,226.0,0.0,540.0,766.0,0.0,0.00043487970287138137,0.0,0.0,0.0007169638344636288,0.0015044487018253195,0.00025458752577698696,0.00010654959412147974,0.0,0
ALTO SELVA ALEGRE,AREQUIPA,0.0,4.0,0.0,1.0,67.0,35.0,107.0,0.0,824.0,931.0,0.0,4.701402193204123e-05,0.0,1.1753505483010308e-05,0.0007874848673616906,0.00041137269190536077,0.0003884817060004394,5.04460467743289e-05,0.0,0
APLAO,AREQUIPA,0.0,0.0,0.0,0.0,7.0,18.0,25.0,0.0,104.0,129.0,0.0,0.0,0.0,0.0,8.227453838107215e-05,0.00021156309869418554,4.9031671631123416e-05,1.178645952671236e-05,0.0,0
ATICO,AREQUIPA,0.0,4.0,1.0,0.0,38.0,16.0,59.0,0.0,833.0,892.0,0.0,4.701402193204123e-05,1.1753505483010308e-05,0.0,0.0004466332083543917,0.00018805608772816493,0.00039272483143005583,2.781604448304117e-05,0.0,0
CABANACONDE,AREQUIPA,3.0,15.0,0.0,1.0,35.0,20.0,74.0,0.0,673.0,747.0,3.5260516449030925e-05,0.00017630258224515463,0.0,1.1753505483010308e-05,0.00041137269190536077,0.00023507010966020617,0.00031729149045909677,3.488792019906859e-05,0.0,0
CALLALLI,AREQUIPA,0.0,0.0,1.0,0.0,11.0,8.0,20.0,0.0,301.0,321.0,0.0,0.0,1.1753505483010308e-05,0.0,0.0001292885603131134,9.402804386408247e-05,0.00014190897270161681,9.429167621369888e-06,0.0,0
CAYMA,AREQUIPA,4.0,55.0,2.0,0.0,321.0,132.0,514.0,0.0,1489.0,2003.0,4.701402193204123e-05,0.000646442801565567,2.3507010966020617e-05,0.0,0.003772875260046309,0.0015514627237573607,0.0007020015294109882,0.00024232960786920612,0.0,1
CERRO COLORADO,AREQUIPA,0.0,26.0,1.0,1.0,166.0,155.0,349.0,0.0,961.0,1310.0,0.0,0.000305591142558268,1.1753505483010308e-05,1.1753505483010308e-05,0.001951081910179711,0.0018217933498665977,0.00045307150420682314,0.00016453897499290454,0.0,0
CHALA,AREQUIPA,0.0,4.0,0.0,0.0,17.0,17.0,38.0,0.0,124.0,162.0,0.0,4.701402193204123e-05,0.0,0.0,0.00019980959321117523,0.00019980959321117523,5.8460839252493306e-05,1.7915418480602788e-05,0.0,0
CHARACATO,AREQUIPA,0.0,22.0,0.0,0.0,52.0,54.0,128.0,0.0,545.0,673.0,0.0,0.0002585771206262268,0.0,0.0,0.000611182285116536,0.0006346892960825566,0.00025694481768232945,6.034667277676729e-05,0.0,0
CHIGUATA,AREQUIPA,0.0,3.0,1.0,0.0,3.0,6.0,13.0,0.0,405.0,418.0,0.0,3.5260516449030925e-05,1.1753505483010308e-05,0.0,3.5260516449030925e-05,7.052103289806185e-05,0.00019094064433274025,6.128958953890427e-06,0.0,0
CHIVAY,AREQUIPA,1.0,20.0,0.0,0.0,159.0,123.0,303.0,0.0,1385.0,1688.0,1.1753505483010308e-05,0.00023507010966020617,0.0,0.0,0.0018688073717986389,0.0014456811744102678,0.0006529698577798648,0.0001428518894637538,0.0,0
CHUQUIBAMBA,AREQUIPA,0.0,3.0,2.0,0.0,12.0,45.0,62.0,0.0,127.0,189.0,0.0,3.5260516449030925e-05,2.3507010966020617e-05,0.0,0.0001410420657961237,0.0005289077467354638,5.987521439569879e-05,2.9230419626246653e-05,0.0,0
COCACHACRA,AREQUIPA,4.0,3.0,0.0,0.0,31.0,176.0,214.0,0.0,2377.0,2591.0,4.701402193204123e-05,3.5260516449030925e-05,0.0,0.0,0.00036435866997331956,0.0020686169650098144,0.0011206565717998113,0.0001008920935486578,0.0,0
DEAN VALDIVIA,AREQUIPA,0.0,2.0,0.0,1.0,9.0,37.0,49.0,0.0,1095.0,1144.0,0.0,2.3507010966020617e-05,0.0,1.1753505483010308e-05,0.00010578154934709277,0.00043487970287138137,0.0005162469272700014,2.3101460672356227e-05,0.0,0
HUAMBO,AREQUIPA,0.0,1.0,0.0,0.0,3.0,2.0,6.0,0.0,218.0,224.0,0.0,1.1753505483010308e-05,0.0,0.0,3.5260516449030925e-05,2.3507010966020617e-05,0.00010277792707293178,2.8287502864109666e-06,0.0,0
HUANCARQUI,AREQUIPA,0.0,2.0,0.0,0.0,2.0,12.0,16.0,0.0,106.0,122.0,0.0,2.3507010966020617e-05,0.0,0.0,2.3507010966020617e-05,0.0001410420657961237,4.997458839326041e-05,7.543334097095911e-06,0.0,0
ICHUPAMPA,AREQUIPA,0.0,0.0,1.0,0.0,19.0,2.0,22.0,0.0,658.0,680.0,0.0,0.0,1.1753505483010308e-05,0.0,0.00022331660417719584,2.3507010966020617e-05,0.0003102196147430693,1.0372084383506877e-05,0.0,0
